Đến nội dung	Skip to content	本文へ移動
Trang chủ	Home	ホーム
Học Viện	Academy	アカデミー
Cộng đồng	Community	コミュニティ
Sản phẩm	Products	商品
Ứng dụng	App	アプリ
Về HOPE CORP	About HOPE CORP	HOPE CORPについて
IKI – Chăm mình khỏe đẹp, cùng gia đình sống khỏe	IKI – Everyday wellbeing for you and your family	IKI – 自分と家族のための、毎日の健やかな暮らし
IKI · CHĂM SÓC SỨC KHỎE CHỦ ĐỘNG	IKI · EVERYDAY WELLBEING	IKI · 毎日のセルフケア
Chăm mình mỗi ngày.	Care for yourself.	毎日、自分を大切に。
Cùng người mình thương	Share a healthier life	大切な人と一緒に、
sống khỏe.	with the people you love.	健やかな暮らしを。
Kiến thức dễ hiểu. Thói quen vừa sức. Có công nghệ và cộng đồng đồng hành — từ việc chăm chị đến những điều chị muốn dành cho gia đình.	Clear knowledge. Manageable habits. Technology and a community alongside you — for your own wellbeing and the care you share with your family.	わかりやすい知識、無理なく続けられる習慣。テクノロジーとコミュニティが、自分自身と家族を大切にする毎日を支えます。
Khám phá hệ sinh thái	Explore IKI	IKIの取り組みを見る
Đọc cùng IKI	Read with IKI	IKIの記事を読む
ĐẸP · AN · TỰ TẠI	BEAUTY · CALM · EASE	美しさ · 安らぎ · 自分らしさ
Một khoảng cho mình.	A little time for yourself.	自分のためのひとときを。
Một nhịp sống cùng nhau.	A way of living, together.	ともに育む、暮らしのリズム。
MỘT HỆ SINH THÁI, NHIỀU CÁCH BẮT ĐẦU	ONE ECOSYSTEM, MANY WAYS TO BEGIN	ひとつのつながり、さまざまな始め方
Điều chị cần,	Find a place for	今のあなたに必要なことを、
có một nơi để tìm.	what you need.	見つけられる場所。
IKI kết nối kiến thức, thực hành, cộng đồng và sản phẩm. Chị chọn điểm bắt đầu phù hợp với mình.	IKI connects knowledge, everyday practice, community and products. Choose the starting point that suits you.	IKIは、知識・実践・コミュニティ・商品をつなぎます。自分に合った一歩から始めてみませんか。
Hiểu để chăm	Learn to care	知ることから、ケアへ
Blog và Học Viện giúp chị tìm hiểu điều mình đang quan tâm, từng bước một.	Explore what matters to you through our Blog and Academy, one step at a time.	ブログとアカデミーで、気になることを一つずつ学べます。
Khám phá →	Explore →	詳しく見る →
Thực hành mỗi ngày	Build everyday habits	毎日の習慣に
IKI Beauty đang được phát triển để hỗ trợ nhịp chăm mình, có AI đồng hành.	IKI Beauty is in development to support your daily self-care, with AI assistance.	AIのサポートで日々のセルフケアを続けやすくするアプリ、IKI Beautyを開発中です。
Có người cùng bước	Find your community	一緒に歩む仲間
Kết nối, hỏi và chia sẻ với cộng đồng theo nhịp riêng của chị.	Connect, ask questions and share with the community at your own pace.	自分のペースでつながり、質問し、経験を共有できます。
Chọn theo nhu cầu	Choose what fits	自分に合うものを
Tìm hiểu sản phẩm, đọc thông tin rõ ràng và chủ động lựa chọn.	Explore products, read their information and make your own informed choices.	商品の情報を確認し、納得して選べるように。
SỨC KHỎE TRONG ĐỜI SỐNG	WELLBEING IN EVERYDAY LIFE	暮らしの中の健やかさ
Từ một bữa ăn.	A meal.	一度の食事から。
Một giấc nghỉ.	A moment of rest.	ひとときの休息から。
Một chút vận động.	A little movement.	少し体を動かすことから。
Không phải lúc nào chị cũng có thời gian để thay đổi cả lịch sinh hoạt. Mình có thể bắt đầu bằng một việc nhỏ, đủ gần với ngày hôm nay.	You do not have to rearrange your whole life. Begin with one small change that fits into today.	生活のすべてを変える必要はありません。今日の暮らしに取り入れられる、小さなことから始めましょう。
IKI dành chỗ cho cả việc chăm bản thân và những câu hỏi về sức khỏe của người chị thương.	IKI makes room for your own care and your questions about the wellbeing of the people you love.	自分のケアにも、大切な人の健康についての疑問にも。IKIはその両方に寄り添います。
Tìm bài đọc phù hợp	Find something to read	関心に合う記事を探す
CHO CHỊ VÀ NGƯỜI CHỊ THƯƠNG	FOR YOU AND THE PEOPLE YOU LOVE	あなたと、大切な人のために
Bắt đầu từ điều	Start with what	今、気になっていることから
đang được quan tâm.	matters to you today.	始めてみませんか。
Ưu tiên phụ nữ, đồng thời giữ không gian kiến thức cho cả gia đình.	With women at the heart, and knowledge for the whole family.	女性を中心に、家族みんなのための知識もお届けします。
Chăm mình	Care for yourself	自分をケアする
Làn da, những thay đổi của cơ thể và thời gian dành riêng cho chị.	Your skin, changes in your body and time just for you.	肌のこと、体の変化のこと、自分のための時間のこと。
Đọc thêm ↗	Read more ↗	続きを読む ↗
Sống khỏe hằng ngày	Everyday wellbeing	毎日を健やかに
Ăn uống, giấc ngủ, vận động và những khoảng nghỉ.	Food, sleep, movement and moments to rest.	食事、睡眠、運動、そして休息。
Chăm sóc gia đình	Care for your family	家族のケア
Tìm hiểu theo độ tuổi và nhu cầu của người thân, từ trẻ nhỏ đến người lớn.	Explore the needs of your family at different ages, from children to adults.	子どもから大人まで、家族の年齢や関心に合わせて学べます。
Sức khỏe nam giới	Men’s wellbeing	男性の健康
Một phần kiến thức riêng cho những điều nam giới quan tâm.	A dedicated space for men’s health questions and interests.	男性の健康に関する疑問や関心を取り上げます。
ỨNG DỤNG TRONG HỆ SINH THÁI IKI	THE APP WITHIN IKI	IKIのアプリ
Một điểm bắt đầu	A place to begin	肌から始まる、
từ làn da.	with your skin.	セルフケアの一歩。
Khám phá thiết kế ứng dụng: ghi nhận làn da, chụp nhãn sản phẩm và xây nhịp chăm mình cùng Tiểu Nhã.	Explore the app designs: keep a skin journal, photograph product labels and build a self-care rhythm with Tiểu Nhã.	肌の記録、商品ラベルの撮影、Tiểu Nhãと続けるセルフケア。アプリのデザインをご覧ください。
