id	title	description	link	image_link	price	availability	condition	brand	product_type	google_product_category
bot-dam-dinh-duong-true-vegan-protein-pro-500g	Bột Đạm Dinh Dưỡng TRUE VEGAN PROTEIN PRO 500g	Bột đạm có nguồn gốc thực vật, phối từ nhiều loại hạt, đậu và ngũ cốc. Pha với nước ấm hoặc nước mát cho bữa sáng và bữa phụ. Không đường tinh luyện.	https://ikihealing.com/shop/?sp=bot-dam-dinh-duong-true-vegan-protein-pro-500g&utm_source=pinterest&utm_medium=catalog	https://cdn.hstatic.net/products/200001053789/shot-1_1c320d89ead54137ab29171da929caca.png	668000 VND	in stock	new	IKI	Thực phẩm bổ sung	Health & Beauty > Health Care > Fitness & Nutrition > Nutritional Supplements
mat-ong-bac-ha-1400g	Mật ong bạc hà 1400g	Mật ong từ hoa bạc hà vùng cao nguyên đá Đồng Văn, Hà Giang. Sản lượng theo mùa hoa nên có giới hạn. Dùng pha nước, ăn kèm hoặc làm nguyên liệu nấu ăn.	https://ikihealing.com/shop/?sp=mat-ong-bac-ha-1400g&utm_source=pinterest&utm_medium=catalog	https://cdn.hstatic.net/products/200001053789/z7788351248737_f0fd14376e019ab5032e580aec1354e8_d7956974c35f4bbabeb4a02cb87bc87c.jpg	483000 VND	in stock	new	IKI	Đồ thực dưỡng	Food, Beverages & Tobacco > Food Items
dau-oliu-pomace-mueloliva-1l-nhap-khau-tay-ban-nha-chai-thuy-tinh-cao-cap	Dầu Oliu Pomace Mueloliva 1L – Nhập khẩu Tây Ban Nha – Chai thủy tinh cao cấp	Dầu ô liu pomace nhập khẩu từ Tây Ban Nha, đóng chai thủy tinh. Phù hợp để xào, chiên và chế biến món ăn hằng ngày.	https://ikihealing.com/shop/?sp=dau-oliu-pomace-mueloliva-1l-nhap-khau-tay-ban-nha-chai-thuy-tinh-cao-cap&utm_source=pinterest&utm_medium=catalog	https://cdn.hstatic.net/products/200001053789/z7346090155600_c854640e039a1e15645fc1a193f5f277_47704d80d6a640d6a99ca04d8375c2a2.jpg	320000 VND	in stock	new	IKI	Dầu ăn và nước chấm	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients
dau-dua-len-men-tach-lanh-raw-virgin-coconut-oil	Dầu dừa lên men tách lạnh - RAW VIRGIN COCONUT OIL	Dầu dừa nguyên chất sản xuất theo phương pháp lên men tách lạnh. Dùng trong chế biến món ăn và các thói quen chăm sóc thường ngày.	https://ikihealing.com/shop/?sp=dau-dua-len-men-tach-lanh-raw-virgin-coconut-oil&utm_source=pinterest&utm_medium=catalog	https://cdn.hstatic.net/products/200001053789/daudua_3_80a06830f8c346c4b95cae3330ba840f.jpg	385000 VND	in stock	new	IKI	Dầu ăn và nước chấm	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients
dau-me-ep-thu-cong-nguyen-chat	Dầu mè ép thủ công nguyên chất	Dầu mè ép thủ công từ hạt mè, giữ hương mè tự nhiên. Dùng để trộn, ướp và chế biến món ăn.	https://ikihealing.com/shop/?sp=dau-me-ep-thu-cong-nguyen-chat&utm_source=pinterest&utm_medium=catalog	https://ikihealing.com/assets/san-pham-shop/dau-me-den.jpg	280000 VND	in stock	new	IKI	Dầu ăn và nước chấm	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients
bot-cafe-iki	Bột Cafe IKI	Bột cà phê từ hạt Robusta hữu cơ, không chất bảo quản. Pha phin hoặc pha máy theo khẩu vị.	https://ikihealing.com/shop/?sp=bot-cafe-iki&utm_source=pinterest&utm_medium=catalog	https://ikihealing.com/assets/san-pham-shop/bot-cafe-iki.jpg	300000 VND	in stock	new	IKI	Cà phê	Food, Beverages & Tobacco > Beverages > Coffee
tuong-tamari-3-nam-homefood	Tương Tamari 3 Năm Homefood	Tương Tamari ủ 3 năm theo phương pháp truyền thống. Dùng chấm, ướp và nêm nếm, phù hợp món chay.	https://ikihealing.com/shop/?sp=tuong-tamari-3-nam-homefood&utm_source=pinterest&utm_medium=catalog	https://ikihealing.com/assets/san-pham-shop/tuong-tamari.jpg	260000 VND	in stock	new	IKI	Gia vị	Food, Beverages & Tobacco > Food Items > Seasonings & Spices
tra-thanh-huong	Trà Thanh Hương	Trà thảo mộc phối từ hoa nhài, phục linh, hoa quế và trần bì. Hãm với nước nóng, dùng như một thức uống thảo mộc thường ngày.	https://ikihealing.com/shop/?sp=tra-thanh-huong&utm_source=pinterest&utm_medium=catalog	https://cdn.hstatic.net/products/200001053789/1753749601790524_g1156871694967204085_ef719d9988f4c0c7387260132797f30f_a73211bb7de244b3b5f67ea1002f69af.jpg	226000 VND	in stock	new	IKI	Trà thảo mộc	Food, Beverages & Tobacco > Beverages > Tea & Infusions
mat-ong-bac-ha-530g	Mật ong bạc hà 530g	Mật ong từ hoa bạc hà vùng cao nguyên đá Đồng Văn, Hà Giang. Sản lượng theo mùa hoa nên có giới hạn. Dùng pha nước, ăn kèm hoặc làm nguyên liệu nấu ăn.	https://ikihealing.com/shop/?sp=mat-ong-bac-ha-530g&utm_source=pinterest&utm_medium=catalog	https://cdn.hstatic.net/products/200001053789/z7788351265511_c355094df3adad69b0c60f2aaae0040c_c5c2a0dac10d404ebbb0692ec3dfdf87.jpg	210000 VND	in stock	new	IKI	Đồ thực dưỡng	Food, Beverages & Tobacco > Food Items
me-den-huu-co-hat-duong-hanuti-150g-320g	Mè đen hữu cơ hạt dưỡng (HANUTI) 150g/320g	Mè đen hữu cơ, dùng rắc lên cơm, cháo, salad hoặc chế biến trong các món ăn hằng ngày.	https://ikihealing.com/shop/?sp=me-den-huu-co-hat-duong-hanuti-150g-320g&utm_source=pinterest&utm_medium=catalog	https://cdn.hstatic.net/products/200001053789/z7560851913410_63c5da84d291d322941db72e49b62e0d_6681f7c3443841868e1ff8688143c649.jpg	110000 VND	in stock	new	IKI	Đồ thực dưỡng	Food, Beverages & Tobacco > Food Items
